coach_number,phase,section,task,hours,completed,completed_date
10M50083M,Completion,BUP,18.5 Lock V-hanger using bolts and split pins,,,
10M50083M,Completion,BUP,18.6 Fit the safety loops and secure by bolts and nuts,,,
10M50083M,Completion,BUP,18.7 Fit vacuum cylinder using mounting bracket and secure with bolt and nut,,,
10M50083M,Completion,BUP,18.8 Fit ball valve on the cylinder and release wire,,,
10M50083M,Completion,BUP,18.9 Connect vacuum cylinder rods with brake shaft lever using pin and split pins,,,
10M50083M,Completion,BUP,18.10 Fit slack adjuster on the brake shaft,,,
10M50083M,Completion,BUP,18.11 Join slack adjusters with pull rods using bolt and pin lock with split pins,,,
10M50083M,Completion,BUP,18.12 Fit release spring,,,
10M50083M,Completion,BUP,"18.13 Fit the reservoirs, secure them with strip bracket",,,
10M50083M,Completion,BUP,18.14 Fit small reservoirs using strip bracket,,,
10M50083M,Completion,BUP,18.15 Fit the flexible rubber pipe,,,
10M50083M,Completion,BUP,18.16 Install handbrake,,,
10M50083M,Completion,BUP,19.1 Bogies - Crack checks done on the bogie frames,,,
10M50083M,Completion,BUP,19.2 Diagonal checks done on the bogie frames,,,
10M50083M,Completion,BUP,19.3 Fit bolster,,,
10M50083M,Completion,BUP,19.4 Fit equalizing beam,,,
10M50083M,Completion,BUP,19.5 Fit bolster and equalizing spring,,,
10M50083M,Completion,BUP,19.6 Fit wheels (with gear cases for Motor coaches),,,
10M50083M,Completion,BUP,19.7 Fit brake rigging,,,
10M50083M,Completion,BUP,20.1 QSA - Clean mounting block (on QSA),,,
10M50083M,Completion,BUP,20.2 Fit sealing rubber gasket and mount QSA valve and secure with bolt and nut,,,
10M50083M,Completion,Coach Build,21.1 Monsoons  - Install monsoons,,,
10M50083M,Completion,Coach Build,21.2 Sealing of monsoons,,,
10M50083M,Completion,Coach Build,22.1 Canopies - Install canopies with mono bolts,,,
10M50083M,Completion,Coach Build,22.2 Seal roof gutters and seal canopies,,,
10M50083M,Completion,Coach Build,23.1 Body Insulation - Measure insulation to size,,,
10M50083M,Completion,Coach Build,23.2 Insert insulation in to interior coach panels,,,
10M50083M,Completion,Coach Build,24.1 Roof Ceiling Installation - Cut light spaces on the roof ceiling panels,,,
10M50083M,Completion,Coach Build,24.2 Fit interior roof ceiling panels,,,
10M50083M,Completion,Coach Build,24.3 Hold roof ceiling panel with self-tapping screws,,,
10M50083M,Completion,Coach Build,24.4 Insert ceiling moulding,,,
10M50083M,Completion,Coach Build,25.1 Body Side Panels - Fit fire retardant panels,,,
10M50083M,Completion,Coach Build,25.2 Ensure body side panels are clean and presentable,,,
10M50083M,Completion,Coach Build,26.1 Moulding Installation - Insert floor body side moulding,,,
10M50083M,Completion,Coach Build,26.2 Fitted saloon moulding,,,
10M50083M,Completion,Coach Build,27.1 Door Tread Plates - Place tread plate,,,
10M50083M,Completion,Coach Build,27.2 Drill and secure tread plates with self-taping screws,,,
10M50083M,Completion,Coach Build,27.3 Fit corner piece,,,
10M50083M,Completion,Coach Build,28.1 Sliding Door Mechanism Installation and Door Trimming - Re-tap door mechanism mounting pads,,,
10M50083M,Completion,Coach Build,28.2 Mount and secure door mechanism/gears,,,
10M50083M,Completion,Coach Build,"28.3 Position guard rails, marks & drill holes",,,
10M50083M,Completion,Coach Build,29.1 Saloon Sliding Doors Installation - Mount the cable over the two idler pulleys & pull tight,,,
10M50083M,Completion,Coach Build,29.2 Fit doors onto running gears,,,
10M50083M,Completion,Coach Build,"30.1 Water Test 2 - Emergency doors and window leaks, Sliding doors and window leaks, Canopy leaks, Nose cone leaks etc",,,
10M50083M,Completion,Coach Build,31.1 Draft Shields  - Fit draft shields and align,,,
10M50083M,Completion,Coach Build,31.2 Mark and drill holes,,,
10M50083M,Completion,Coach Build,31.3 Tighten with self-taping screws,,,
10M50083M,Completion,Coach Build,32.1 Grab and Commode Handles - Mark and drill holes,,,
10M50083M,Completion,Coach Build,32.2 Fit grab; commode handles and align,,,
10M50083M,Completion,Coach Build,32.3 Tighten with self-taping screws,,,
10M50083M,Completion,Coach Build,"33.1 Window Shrouds (A/B Side) - Pre-fit window shrouds, mark and drill the holes",,,
10M50083M,Completion,Coach Build,33.2 Fit window shrouds and tighten with self-tapping screws,,,
10M50083M,Completion,Coach Build,34.1 End Doors/Emergency Doors - Pre-fit emergency door; mark and drill holes,,,
10M50083M,Completion,Coach Build,34.2 Fit the complete emergency door and tighten with rivets ,,,
10M50083M,Completion,Coach Build,34.3 Fit sealing rubbers and sealant around end door frame,,,
10M50083M,Completion,Coach Build,34.4 Fit slippery plates and corner piece ,,,
10M50083M,Completion,Coach Build,"35.1 Seats (A/B Side) Bracketry - Measure, line-up the seats frame  bracketry & mark panels",,,
10M50083M,Completion,Coach Build,35.2 Drill holes on A/B side panels,,,
10M50083M,Completion,Coach Build,35.3 Fit and tighten seat frame  bracketry against A/B side panels,,,
10M50083M,Completion,Coach Build,36.1 Seat Moulding (A/B Side) - Load seats moulding and place on top of bracketry according to drawing,,,
10M50083M,Completion,Coach Build,36.2 Drill holes and affix seats moulding onto seat bracketry using rivets,,,
10M50083M,Completion,Electrical,37.1 Sliding Doors - XT door termination,,,
10M50083M,Completion,Electrical,37.2 Install and connect emergency pushbutton,,,
10M50083M,Completion,Electrical,37.3 Trailer control box connection (external),,,
10M50083M,Completion,Electrical,38.1 Saloon Final Connections - Fit and connect saloon and cab light,,,
10M50083M,Completion,Electrical,38.2 Trailer door control box connection (internal) optional,,,
10M50083M,Completion,Electrical,39.1 QSA Connection - Neatly complete all electrical connections and close covers,,,
10M50083M,Completion,Electrical,39.2 Protect electrical cables with spiral,,,
10M50083M,Completion,Electrical,40.1 Electrical Test - Clean coach & final inspection,,,
10M50083M,Completion,Testing & Commissioning,41 .1 Conduct Visual Inspection,,,
10M50083M,Completion,Testing & Commissioning,41.2 Conduct Static Testing (Functional) on 110V,,,
10M50083M,Completion,Testing & Commissioning,41.3 Conduct Dynamic Testing on 3kV,,,
10M50083M,Completion,Testing & Commissioning,41.4 Confirm no oustanding snags,,,
10M50083M,Completion,Testing & Commissioning,41.5 Management walk about,,,
10M50083M,Completion,Testing & Commissioning,41.6 Invite PRASA QC for Coach Inspection,,,
10M50083M,Completion,Testing & Commissioning,41.7 Attend to PRASA snags,,,
10M50083M,Completion,Testing & Commissioning,41.8 Invite PRASA QC for Verification,,,
10M50083M,Completion,PRASA,42.1 Issue Completion Certificate,,,
