coach_no,coach_type,section,task,hours
,Sitter,,Vacuum Toilet Systems (Complete) - New (Glova),
,Sitter,,Vacuum Toilet Systems (Complete) - New (Evac),
,Sitter,,Water Purification System - New,
,Sitter,,"Water piping (To all tanks, Filtration System, Wash basin, Toilets, Drinking Stations est..)",
,Sitter,,Renew low level limit switch,
,Sitter,,Water Pipe Lagging (Only on Copper Pipes),
,Sitter,,Stop Cocks,
,Sitter,,Gate Valve,
,Sitter,,Ball Valve 25mm S/S,
,Sitter,,Ball Valve 15mm S/S,
,Sitter,,Vacuum Valve,
,Sitter,,3-way Cock,
,Sitter,,Safety Valve,
,Sitter,,Non-Return Valve 25mm Brass,
,Sitter,,Non-Return Valve 20mm Brass,
,Sitter,,Valve Pressure Release 15mm Brass,
,Sitter,,"Valve 3 Way Port 1"" S/S",
,Sitter,,In Line Strainer Sediment 25mm Brass,
,Sitter,,Filler Cap,
,Sitter,,Taps turn - Renew,
,Sitter,,Tap Metal Basin Pillar 15mm S/S,
,Sitter,,Taps Push Button- Renew,
,Sitter,,Wash basin Stainless Steel Tops & Bowls - Refurbish,
,Sitter,,Wash basin Ceramic - Renew,
,Sitter,,Final Inspection & Test Water System,
,Sitter,,Final Inspection & Test Toilet System,
,Sitter,,Vestibule Buffer Refurbish,
,Sitter,,Vestibule Buffer Renew,
,Sitter,,Vestibule Buffer Rod Refurbs.,
,Sitter,,Vestibule Buffer Rod Renew,
,Sitter,,Emergency Coupling Bracket examine,
,Sitter,,Guide Vestibule Buffer Rod Inner & Outer Renew,
,Sitter,,Draw Gear System Overhaul complete,
,Sitter,,Coupler Renew Complete,
,Sitter,,Coupler Release Wire,
,Sitter,,Renew Rear Yoke,
,Sitter,,Renew Side Plungers,
,Sitter,,Side Plunger Guide Bracket and Spring,
,Sitter,,Renew Coupler Wearing Plate,
,Sitter,,Renew 2 x Coupler shank bush,
,Sitter,,Renew Coupler Knuckle,
,Sitter,,Renew Coupler Knuckle Pin,
,Sitter,,Renew Coupler Lock,
,Sitter,,Renew Coupler Lock Lifter,
,Sitter,,Renew Coupler Lock Lifter Pin,
,Sitter,,Renew Coupler Lock Lifter lever,
,Sitter,,Renew Side Lever Pin,
,Sitter,,Renew Carrier Plate,
,Sitter,,Yoke Rubber (Springs) Renew,
,Sitter,,Yoke Rubber Follower Block Renew,
,Sitter,,Yoke & Coupler Pin Renew,
,Sitter,,Guide Coupler Renew,
,Sitter,,Stops Front & Loose Renew,
,Sitter,,Yoke Front Renew,
,Sitter,,Back Stop - Renew,
,Sitter,,Repair Underframe (to quote for add work),
,Sitter,,Underframe Examine,
,Sitter,,Support Brackets & Safety' loops overhaul,
,Sitter,,"Repair underframe cradles, cabinets & covers",
,Sitter,,Pull rod wheel,
,Sitter,,Bogie Overhaul,
,Sitter,,Snubbers Houdaille - Refurbish,
,Sitter,,Snubbers Houdaille - Renew,
,Sitter,,Springs Class 7' Bogies Equalising Beam New,
,Sitter,,Springs Class 7' Bogies Bolster New,
,Sitter,,"Springs Class 6'9"" Bogies Equalising Beam New",
,Sitter,,"Springs Class 6'9"" Bogies Bolster New",
,Sitter,,Axle Boxes (Adaptor) Examine/Repair,
,Sitter,,Axle Boxes Renew,
,Sitter,,Earth Straps,
,Sitter,,Bolster Central Flat and Vertical sleeve Liners Renew,
,Sitter,,Bogie Central Bearing Assembly examine,
,Sitter,,Springs Test & Refurbish,
,Sitter,,Double Webb Spring Cub - Renew,
,Sitter,,Pedestal Liners - Renew,
,Sitter,,Side Friction,
,Sitter,,Safety Loops,
,Sitter,,Fit New Swing hanger,
,Sitter,,Fit New Anchor bolts,
,Sitter,,Assemble Coach Complete & Stationary Functional test,
,Sitter,,Test  Coach Under Working Conditions & Road Certificate,
,Sitter,,Weighing of coach,
,Sitter,,Wheel-sets(R6),
,Sleeper ,BUP,Slack Adjusters Fit New Knorr Bremse KRD2A-500AR,
,Sleeper ,BUP,Slack Adjusters Fit New DRV10 450DJ,
,Sleeper ,BUP,Slack Adjusters KRD2A-500 Overhaul,
,Sleeper ,BUP,Slack Adjusters DRV10 450DJ Overhaul,
,Sleeper ,BUP,Slack Adjusters 19DJ Overhaul,
,Sleeper ,BUP,Brake Blocks Renew,
,Sleeper ,BUP,Handbrake Overhaul,
,Sleeper ,BUP,Trunion & Brackets,
,Sleeper ,BUP,Vacuum Cylinder Overhaul,
,Sleeper ,BUP,"Upgrade Vacuum Cylinder (Oversize) Cl.3,5&7",
,Sleeper ,BUP,Vacuum Cylinder Renew,
,Sleeper ,BUP,Vacuum Cylinder Piston Rod renew,
,Sleeper ,BUP,Underframe Brake Rigging overhaul ,
,Sleeper ,BUP,Brake Rigging Bogie overhaul,
,Sleeper ,BUP,Renew Vacuum Brake Release wire Arrange.,
,Sleeper ,BUP,Vacuum Piping Renew ,
,Sleeper ,BUP,Vacuum Piping - Repair Replace Ends,
,Sleeper ,BUP,Renew Stand Pipes (Gooseneck),
,Sleeper ,BUP,Vacuum Piping - Patches,
,Sleeper ,BUP,Vacuum Hoses Renew,
,Sleeper ,BUP,Vacuum Chamber B17 Overhaul,
,Sleeper ,BUP,Vacuum Chamber B17 Renew,
,Sleeper ,BUP,Vacuum Test and Brake adjustment,
,Sleeper ,Structural,Body framework repairs,
,Sleeper ,Structural,Roof Modification for Lights and Air-conditioning,
,Sleeper ,Structural,Mini Repairs (Refer CR 001),
,Sleeper ,Structural,Midi Repairs (Refer CR 001),
,Sleeper ,Structural,Maxi Repairs,
,Sleeper ,Structural,Rust Repairs Body (Side and ends),
,Sleeper ,Structural,Rust Repairs Roof,
,Sleeper ,Structural,Rust Repair Gutters,
,Sleeper ,,Fit New Pillars (500mm) L/H or R/H,
,Sleeper ,,Fit New Pillars Full size,
,Sleeper ,Structural,Renew Corrugated Metal Floor ,
,Sleeper ,Structural,Plate Patch Sole bar (6mm x 135mm x 600mm),
,Sleeper ,Structural,Plate Patch Destination (2.5mm x 125mm x 625mm),
,Sleeper ,Paint,Plate Stencil (2.5mm x 125mm x 800mm),
,Sleeper ,Coach Build,Fit New floor plates at end,
,Sleeper ,Coach Build,Fit New Spark plates Toilet Floor,
,Sleeper ,ALL,Complete Coach Strip,
,Sleeper ,N/A,Remove Asbetos (Interior and Exterior) If Applicable,
,Sleeper ,Paint,Grit Blast Body Shell and u/f equipment,
,Sleeper ,Paint,Paint Coach and auto coat complete,
,Sleeper ,Coach Build,Renew Card Clip small,
,Sleeper ,Coach Build,Renew Card Clip big ,
,Sleeper ,Paint,External Signs and Decals,
,Sleeper ,Paint,Stencilling,
,Sleeper ,Coach Build,Monsoon Ventilators Renew (Rotating type),
,Sleeper ,Coach Build,Commode Handles Overhaul,
,Sleeper ,Coach Build,Renew Commode Handles ,
,Sleeper ,Coach Build,Exterior Steps Inspect and overhaul,
,Sleeper ,Coach Build,Fit New Side Steps - Entrance,
,Sleeper ,BUP,Gangway Plate Overhaul,
,Sleeper ,BUP,Gangway Plate Renew,
,Sleeper ,Coach Build,Windows Mainline Drop MKIV -  Renew ,
,Sleeper ,Coach Build,"Windows Mainline Toilet Half Drop (Toilet,Shower) -  Renew ",
,Sleeper ,Coach Build,Glass Exit/Entrance Side Door (Including rubber),
,Sleeper ,Coach Build,Window mainline drop MKIV Aperture Conversion,
,Sleeper ,Coach Build,Glass (200 x 200) for emergency & fire ext,
,Sleeper ,Coach Build,Gummies Rubber Diaphragms - Overhaul (Renew Rubbers Repair Steel Plates),
,Sleeper ,Coach Build,Gummies Rubber Diaphragms - New (Including Steel Plates),
,Sleeper ,QC,Water Test Coaches Exterior,
,Sleeper ,QC,Vehicle Compliance (To Pass Structure Gauge),
,Sleeper ,Electrical,Jumper Cables Complete New,
,Sleeper ,Electrical,Main Buss Junction & Receptical Boxes - Fit New,
,Sleeper ,Electrical,Inter Coach Connectors (Recepticals),
,Sleeper ,Electrical,Interior Lighting new (Kit),
,Sleeper ,Electrical,Electrical Conduits  - Renew,
,Sleeper ,Electrical,Main DB Complete,
,Sleeper ,Electrical,LT Rewiring,
,Sleeper ,Electrical,Fit Communication system Speakers,
,Sleeper ,Electrical,95 Square Cabling for Mainline,
,Sleeper ,Coach Build,Ceiling Ventilator Grill powder coat overhaul ,
,Sleeper ,Coach Build,Ceiling Ventilator Grill renew ,
,Sleeper ,Coach Build,Renew Ventilator Grill Sleeve,
,Sleeper ,Electrical,Low Level Limit Switches (For Water and Waste Tanks),
,Sleeper ,SP,Air Conditioning unit - Renew (Fit to Roof Interior),
,Sleeper ,SP,Air Conditiong Frame & Condenser  -Renew (Fit to Under Frame),
,Sleeper ,SP,Air Conditioning Installation Kit - Brackets New,
,Sleeper ,SP,Air Conditioning Installation Kit - New,
,Sleeper ,SP,Air Conditiong Booster fan  -Renew ,
,Sleeper ,QC,Inspect and Test Air Conditioning,
,Sleeper ,Structural,Convert E-3 to Sleeper,
,Sleeper ,Coach Build,Rebuild Toilet Compartment (Wood),
,Sleeper ,Coach Build,Rebuild Sleeper Compartment (Wood),
,Sleeper ,Coach Build,Rebuild Shower Compartment (Wood & Plastic Cubicle),
,Sleeper ,Coach Build,Modify Toilet Compartment (Wood) to fit new toilet system,
,Sleeper ,Coach Build,Tables in Compartments - Refurbish,
,Sleeper ,Coach Build,Compartment Equipment ,
,Sleeper ,Coach Build,Corridor Equipment,
,Sleeper ,Coach Build,Toilet Equipment,
,Sleeper ,Coach Build,Shower & Dressing Room Equipment,
,Sleeper ,Coach Build,Cupboard Bedding Equipment,
,Sleeper ,Coach Build,Cupboard Broom Equipment,
,Sleeper ,Coach Build,Cupboard Electrical Equipment,
,Sleeper ,Coach Build,Cupboard Fire Extinguisher Equipment,
,Sleeper ,Coach Build,Floor Repairs (Wood),
,Sleeper ,Coach Build,Floor Repairs (Marley & Flashing only),
,Sleeper ,Coach Build,Renew Floors Complete (Including Marley & Flashing),
,Sleeper ,Coach Build,Bogie Pin Cover Plate,
,Sleeper ,Coach Build,Body side & Ceiling Insulation,
,Sleeper ,Paint,Decal Renew (All Interior),
,Sleeper ,Paint,Warning Notices (All Interior),
,Sleeper ,Coach Build,Formica Ceilings & Coves Complete - Renew,
,Sleeper ,Coach Build,Formica Side & End Panels Complete - Renew,
,Sleeper ,Coach Build,Formica Comparments and Corridor - Renew,
,Sleeper ,Coach Build,Formica Toilet Cubicle complete - Renew,
,Sleeper ,Coach Build,Formica/Panelling Shower Cubicle Complete - Renew,
,Sleeper ,Coach Build,Renew Aluminium Mouldings roof (All Types),
,Sleeper ,Coach Build,"Renew Aluminium Mouldings (Sides, Ends) & (Compartments, corridors)",
,Sleeper ,Coach Build,Passenger Parcel Racks - Refurbish,
,Sleeper ,Coach Build,Passenger Parcel Racks - New,
,Sleeper ,Coach Build,Window Shroud & Louvre - Renew,
,Sleeper ,Coach Build,Repair Portable back and Seat Frames,
,Sleeper ,Coach Build,Portable back and Seat - Refurbish,
,Sleeper ,Coach Build,Top Bunks - Refurbish,
,Sleeper ,Coach Build,Repair Trimming Frames (All type),
,Sleeper ,SP,Water Drinking Dispencer - Refurb. (Alcove),
,Sleeper ,Coach Build,Fire Extinguisher station (Strap & Partition) ,
,Sleeper ,,Drain Casting,
,Sleeper ,,Tread Plates ,
,Sleeper ,,Toilet Floor Pan - Renew,
,Sleeper ,,Shower & Dressing area Floor Pan - Renew,
,Sleeper ,,Mainline Sliding Door End LH;RH (electronic controlled),
,Sleeper ,,Compartment Sliding door complete - Refurbish ,
,Sleeper ,,Toilet and Shower External Door - Renew,
,Sleeper ,,Fit New Shower Door  - Internal,
,Sleeper ,,"DB, Broom & Compartment Doors - Renew",
,Sleeper ,,Doors Hinged Int. Overhaul,
,Sleeper ,,Doors Hinged Spring Loaded - Renew Hinge,
,Sleeper ,,Door Stops - Renew,
,Sleeper ,,Door Controllers - Renew - (vestibule door),
,Sleeper ,,Locks Overhaul,
,Sleeper ,,Lock Vestibule side door complete with Striking plates - Renew,
,Sleeper ,,Fit yale locks to vestibule doors,
,Sleeper ,,"Lock Toilet, shower, Communication Door Comp. - Renew",
,Sleeper ,,Lock Mortice Private -Renew,
,Sleeper ,,"Indicator Lock Toilet, Shower Door - Renew",
,Sleeper ,,Sill plate-End door Renew,
,Sleeper ,,Sill plate-Exit Door - Renew,
,Sleeper ,,Renew door kick plate,
,Sleeper ,,Repair Vestibule Exit Door (Including new Window & Rubber),
,Sleeper ,,Renew Vestibule Exit Door (Including new Window & Rubber),
,Sleeper ,,Fit New Weather Strip,
,Sleeper ,,PLUMBING (Water & Toilets),
,Sleeper ,,Water & Waste Tanks - Overhaul,
,Sleeper ,,Water Tank 940L - Renew,
,Sleeper ,,Water Tank 700L - Renew,
,Sleeper ,,Waste Tank 900L S/S - Renew,
,Sleeper ,,Pressurised Tank 210L - New,
,Sleeper ,,Water Pressurised Tank - Overhaul,
,Sleeper ,,Hanger Brackets and Stays for Tanks - Renew,
,Sleeper ,,Geyser - Renew (kwikot 150lt),
,Sleeper ,,Vacuum Toilet Systems (Complete) - New (Glova),
,Sleeper ,,Vacuum Toilet Systems (Complete) - New (Evac),
,Sleeper ,,Water Purification System - New,
,Sleeper ,,"Water piping (To all tanks, Filtration System, Wash basin, Toilets, Drinking Stations est..)",
,Sleeper ,,Renew low level limit switch,
,Sleeper ,,Water Pipe Lagging (Only on Copper Pipes),
,Sleeper ,,Stop Cocks,
,Sleeper ,,Gate Valve,
,Sleeper ,,Ball Valve 25mm S/S,
,Sleeper ,,Ball Valve 15mm S/S,
,Sleeper ,,Vacuum Valve,
,Sleeper ,,3-way Cock,
,Sleeper ,,Safety Valve,
,Sleeper ,,Non-Return Valve 25mm Brass,
,Sleeper ,,Non-Return Valve 20mm Brass,
,Sleeper ,,Valve Pressure Release 15mm Brass,
,Sleeper ,,"Valve 3 Way Port 1"" S/S",
,Sleeper ,,In Line Strainer Sediment 25mm Brass,
,Sleeper ,,Filler Cap,
,Sleeper ,,Taps turn - Renew,
,Sleeper ,,Tap Metal Basin Pillar 15mm S/S,
,Sleeper ,,Taps Push Button- Renew,
,Sleeper ,,Wash basin Stainless Steel Tops & Bowls - Refurbish,
,Sleeper ,,Wash basin Ceramic - Renew,
,Sleeper ,,Shower Rose,
,Sleeper ,,Final Inspection & Test Water System,
,Sleeper ,,Final Inspection & Test Toilet System,
,Sleeper ,,Vestibule Buffer Refurbish,
,Sleeper ,,Vestibule Buffer Renew,
,Sleeper ,,Vestibule Buffer Rod Refurbs.,
,Sleeper ,,Vestibule Buffer Rod Renew,
,Sleeper ,,Emergency Coupling Bracket examine,
,Sleeper ,,Guide Vestibule Buffer Rod Inner & Outer Renew,
,Sleeper ,,Draw Gear System Overhaul complete,
,Sleeper ,,Coupler Renew Complete,
,Sleeper ,,Coupler Release Wire,
,Sleeper ,,Renew Rear Yoke,
,Sleeper ,,Renew Side Plungers,
,Sleeper ,,Side Plunger Guide Bracket and Spring,
,Sleeper ,,Renew Coupler Wearing Plate,
,Sleeper ,,Renew 2 x Coupler shank bush,
,Sleeper ,,Renew Coupler Knuckle,
,Sleeper ,,Renew Coupler Knuckle Pin,
,Sleeper ,,Renew Coupler Lock,
,Sleeper ,,Renew Coupler Lock Lifter,
,Sleeper ,,Renew Coupler Lock Lifter Pin,
,Sleeper ,,Renew Coupler Lock Lifter lever,
,Sleeper ,,Renew Side Lever Pin,
,Sleeper ,,Renew Carrier Plate,
,Sleeper ,,Yoke Rubber (Springs) Renew,
,Sleeper ,,Yoke Rubber Follower Block Renew,
,Sleeper ,,Yoke & Coupler Pin Renew,
,Sleeper ,,Guide Coupler Renew,
,Sleeper ,,Stops Front & Loose Renew,
,Sleeper ,,Yoke Front Renew,
,Sleeper ,,Back Stop - Renew,
,Sleeper ,,Repair Underframe (to quote for add work),
,Sleeper ,,Underframe Examine,
,Sleeper ,,Support Brackets & Safety' loops overhaul,
,Sleeper ,,"Repair underframe cradles, cabinets & covers",
,Sleeper ,,Pull rod wheel,
,Sleeper ,,Bogie Overhaul,
,Sleeper ,,Snubbers Houdaille - Refurbish,
,Sleeper ,,Snubbers Houdaille - Renew,
,Sleeper ,,Springs Class 7' Bogies Equalising Beam New,
,Sleeper ,,Springs Class 7' Bogies Bolster New,
,Sleeper ,,"Springs Class 6'9"" Bogies Equalising Beam New",
,Sleeper ,,"Springs Class 6'9"" Bogies Bolster New",
,Sleeper ,,Axle Boxes (Adaptor) Examine/Repair,
,Sleeper ,,Axle Boxes Renew,
,Sleeper ,,Earth Straps,
,Sleeper ,,Bolster Central Flat and Vertical sleeve Liners Renew,
,Sleeper ,,Bogie Central Bearing Assembly examine,
,Sleeper ,,Springs Test & Refurbish,
,Sleeper ,,Double Webb Spring Cub - Renew,
,Sleeper ,,Pedestal Liners - Renew,
,Sleeper ,,Side Friction,
,Sleeper ,,Safety Loops,
,Sleeper ,,Fit New Swing hanger,
,Sleeper ,,Fit New Anchor bolts,
,Sleeper ,,Assemble Coach Complete & Stationary Functional test,
,Sleeper ,,Test  Coach Under Working Conditions & Road Certificate,
,Sleeper ,,Weighing of coach,
,Sleeper ,,Wheel-sets(R6),
